experience,gender,languageProficiency,age,type,collocation,firstGuess,time
more than three years,male,foreign language,21,kebab-case,blue ocean,true,292
more than three years,male,foreign language,21,camelCase,swift arrow,false,796
more than three years,male,foreign language,21,kebab-case,happy dream,true,559
more than three years,male,foreign language,21,camelCase,mighty force,true,368
more than three years,male,foreign language,21,kebab-case,golden crown,true,365
more than three years,male,foreign language,21,camelCase,shining star,true,570
more than three years,male,foreign language,21,kebab-case,silver moon,true,339
more than three years,male,foreign language,21,camelCase,broken chain,true,347
more than three years,male,foreign language,21,kebab-case,fiery flame,true,379
more than three years,male,foreign language,21,camelCase,clear sky,true,313

one to three years,male,foreign language,19,camelCase,final step,false,1154
one to three years,male,foreign language,19,camelCase,bright star,false,1459
one to three years,male,foreign language,19,kebab-case,silent wave,true,826
one to three years,male,foreign language,19,camelCase,green field,true,845
one to three years,male,foreign language,19,kebab-case,fast runner,false,816
one to three years,male,foreign language,19,camelCase,blue ocean,true,681
one to three years,male,foreign language,19,kebab-case,swift arrow,true,521
one to three years,male,foreign language,19,camelCase,happy dream,true,392
one to three years,male,foreign language,19,kebab-case,mighty force,true,425
one to three years,male,foreign language,19,camelCase,golden crown,true,792
one to three years,male,foreign language,19,kebab-case,shining star,true,706
one to three years,male,foreign language,19,camelCase,silver moon,false,1002
one to three years,male,foreign language,19,kebab-case,broken chain,false,1222
one to three years,male,foreign language,19,camelCase,fiery flame,false,923
one to three years,male,foreign language,19,kebab-case,clear sky,true,388
one to three years,male,foreign language,19,kebab-case,final step,true,288
one to three years,male,foreign language,19,kebab-case,bright star,false,927
one to three years,male,foreign language,19,camelCase,silent wave,true,417
one to three years,male,foreign language,19,kebab-case,green field,false,806
one to three years,male,foreign language,19,camelCase,fast runner,true,558
one to three years,male,foreign language,19,kebab-case,blue ocean,true,292
one to three years,male,foreign language,19,camelCase,swift arrow,false,796
one to three years,male,foreign language,19,kebab-case,happy dream,true,559
one to three years,male,foreign language,19,camelCase,mighty force,true,368
one to three years,male,foreign language,19,kebab-case,golden crown,true,365
one to three years,male,foreign language,19,camelCase,shining star,true,570
one to three years,male,foreign language,19,kebab-case,silver moon,true,339
one to three years,male,foreign language,19,camelCase,broken chain,true,347
one to three years,male,foreign language,19,kebab-case,fiery flame,true,379
one to three years,male,foreign language,19,camelCase,clear sky,true,313

more than three years,male,second language,23,camelCase,final step,false,1154
more than three years,male,second language,23,camelCase,bright star,false,1459
more than three years,male,second language,23,kebab-case,silent wave,true,826
more than three years,male,second language,23,camelCase,green field,true,845
more than three years,male,second language,23,kebab-case,fast runner,false,816
more than three years,male,second language,23,camelCase,blue ocean,true,681
more than three years,male,second language,23,kebab-case,swift arrow,true,521
more than three years,male,second language,23,camelCase,happy dream,true,392
more than three years,male,second language,23,kebab-case,mighty force,true,425
more than three years,male,second language,23,camelCase,golden crown,true,792
more than three years,male,second language,23,kebab-case,shining star,true,706
more than three years,male,second language,23,camelCase,silver moon,false,1002
more than three years,male,second language,23,kebab-case,broken chain,false,1222
more than three years,male,second language,23,camelCase,fiery flame,false,923
more than three years,male,second language,23,kebab-case,clear sky,true,388
more than three years,male,second language,23,kebab-case,final step,true,288
more than three years,male,second language,23,kebab-case,bright star,false,927
more than three years,male,second language,23,camelCase,silent wave,true,417
more than three years,male,second language,23,kebab-case,green field,false,806
more than three years,male,second language,23,camelCase,fast runner,true,558
more than three years,male,second language,23,kebab-case,blue ocean,true,292
more than three years,male,second language,23,camelCase,swift arrow,false,796
more than three years,male,second language,23,kebab-case,happy dream,true,559
more than three years,male,second language,23,camelCase,mighty force,true,368
more than three years,male,second language,23,kebab-case,golden crown,true,365
more than three years,male,second language,23,camelCase,shining star,true,570
more than three years,male,second language,23,kebab-case,silver moon,true,339
more than three years,male,second language,23,camelCase,broken chain,true,347
more than three years,male,second language,23,kebab-case,fiery flame,true,379
more than three years,male,second language,23,camelCase,clear sky,true,313

less than one year,female,foreign language,20,camelCase,final step,false,146
less than one year,female,foreign language,20,camelCase,bright star,true,129
less than one year,female,foreign language,20,kebab-case,silent wave,true,115
less than one year,female,foreign language,20,camelCase,green field,true,87
less than one year,female,foreign language,20,kebab-case,fast runner,true,77
less than one year,female,foreign language,20,camelCase,blue ocean,true,50
less than one year,female,foreign language,20,kebab-case,swift arrow,true,122
less than one year,female,foreign language,20,camelCase,happy dream,true,125
less than one year,female,foreign language,20,kebab-case,mighty force,true,132
less than one year,female,foreign language,20,camelCase,golden crown,false,155
less than one year,female,foreign language,20,kebab-case,shining star,true,112
less than one year,female,foreign language,20,camelCase,silver moon,false,183
less than one year,female,foreign language,20,kebab-case,broken chain,true,63
less than one year,female,foreign language,20,camelCase,fiery flame,false,123
less than one year,female,foreign language,20,kebab-case,clear sky,false,129
less than one year,female,foreign language,20,kebab-case,final step,false,116
less than one year,female,foreign language,20,kebab-case,bright star,false,208
less than one year,female,foreign language,20,camelCase,silent wave,true,64
less than one year,female,foreign language,20,kebab-case,green field,false,122
less than one year,female,foreign language,20,camelCase,fast runner,true,115
less than one year,female,foreign language,20,kebab-case,blue ocean,true,96
less than one year,female,foreign language,20,camelCase,swift arrow,true,102
less than one year,female,foreign language,20,kebab-case,happy dream,false,127
less than one year,female,foreign language,20,camelCase,mighty force,true,118
less than one year,female,foreign language,20,kebab-case,golden crown,true,125
less than one year,female,foreign language,20,camelCase,shining star,false,104
less than one year,female,foreign language,20,kebab-case,silver moon,false,144
less than one year,female,foreign language,20,camelCase,broken chain,true,87
less than one year,female,foreign language,20,kebab-case,fiery flame,true,120
less than one year,female,foreign language,20,camelCase,clear sky,true,89

